config_id,source,bin_width,u_max,max_k,matrix_size,samples,seed,l2_to_sine_kernel,mean_normalized_spacing,notes
h012_m60_s25,goe,0.05,3,100,60,25,1729,0.147805465513,1,GOE contrast ensemble
h012_m80_s15,gue,0.05,3,100,80,15,1730,0.161800937202,1,GUE sine-kernel comparison
h012_m80_s15,goe,0.05,3,100,80,15,1729,0.159725447994,1,GOE contrast ensemble
h012_m80_s25,gue,0.05,3,100,80,25,1730,0.129718432149,1,GUE sine-kernel comparison
h012_m80_s25,goe,0.05,3,100,80,25,1729,0.138567291483,1,GOE contrast ensemble
h012_m120_s15,gue,0.05,3,100,120,15,1730,0.117145272454,1,GUE sine-kernel comparison
h012_m120_s15,goe,0.05,3,100,120,15,1729,0.138154030342,1,GOE contrast ensemble
h012_m120_s25,gue,0.05,3,100,120,25,1730,0.0861556252779,1,GUE sine-kernel comparison
h012_m120_s25,goe,0.05,3,100,120,25,1729,0.134413658862,1,GOE contrast ensemble
h013_m60_s15,gue,0.05,5,25,60,15,1730,0.169588083767,1,GUE sine-kernel comparison
h013_m60_s15,goe,0.05,5,25,60,15,1729,0.166626199119,1,GOE contrast ensemble
h013_m60_s25,gue,0.05,5,25,60,25,1730,0.12459013138,1,GUE sine-kernel comparison
h013_m60_s25,goe,0.05,5,25,60,25,1729,0.139548189167,1,GOE contrast ensemble
h013_m80_s15,gue,0.05,5,25,80,15,1730,0.15812585888,1,GUE sine-kernel comparison
h013_m80_s15,goe,0.05,5,25,80,15,1729,0.153113085132,1,GOE contrast ensemble
h013_m80_s25,gue,0.05,5,25,80,25,1730,0.126765270135,1,GUE sine-kernel comparison
h013_m80_s25,goe,0.05,5,25,80,25,1729,0.141472959729,1,GOE contrast ensemble
h013_m120_s15,gue,0.05,5,25,120,15,1730,0.12201960725,1,GUE sine-kernel comparison
h013_m120_s15,goe,0.05,5,25,120,15,1729,0.131501932017,1,GOE contrast ensemble
h013_m120_s25,gue,0.05,5,25,120,25,1730,0.0901981055699,1,GUE sine-kernel comparison
h013_m120_s25,goe,0.05,5,25,120,25,1729,0.11844337473,1,GOE contrast ensemble
h014_m60_s15,gue,0.05,5,50,60,15,1730,0.169588083767,1,GUE sine-kernel comparison
